CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD * AUS4   TAYLORCRAFT         Auster 4                 MAGC__  Y    /
CD * AUS5   TAYLORCRAFT         Auster 5                 MAGC__  Y    /
CD * AUS6   AUSTER              Auster AOP6              SVNH__  Y    /
CD * AUS7   AUSTER              Auster T7                SVNH__  Y    /
CD * AUS9   AUSTER              Auster AOP9              C182__  Y    /
CD * AV68   M&D FLUGZEUGBAU     AVO-68 Samburo           DIMO__  Y    /
CD * AVID   AVID                Avid Flyer               EV97__  Y    /
CD * B1     ROCKWELL            B-1 Lancer               FGTL__  Y    /
CD * B103   BERIEV              Be-103 Bekas             C188__  Y    /
CD * B13    AKAFLIEG BERLIN     B-13                     DIMO__  Y    /
CD * B14A   BELLANCA            14 Cruisair Senior       DA40__  Y    /
CD * B17    BOEING              B-17 Flying Fortress     C30J__  Y    /
CD * B18T   VOLPAR              Turbo 18                 BE9L__  Y    /
CD - B190   BEECH               1900D                    B190__  Y    /
CD * B2     NORTHROP            B-2 Spirit               FGTL__  Y    /
CD * B209   BOLKOW              BO-209 Monsun            C182__  Y    /
CD * B23    DOUGLAS             B-23 Dragon              E120__  Y    /
CD * B24    CONSOLIDATED        B-24 Liberator           C160__  Y    /
CD * B25    NORTH AMERICAN      B-25 Mitchell            AT43__  Y    /
CD * B26    DOUGLAS             A-26/B-26 Invader        SF34__  Y    /
CD - B350   BEECHCRAFT          Super King Air 350       B350__  Y    /
CD * B36T   BEECH               Bonanza 36 Turbine       E500__  Y    /
CD * B37M   BOEING              737 MAX 7                B38M__  Y    /
CD - B38M   BOEING              B737-8 MAX               B38M__  Y    /
CD - B39M   BOEING              B737-9 MAX               B39M__  Y    /
CD * B461   BRITISH AEROSPACE   BAe 146-100 Statesman    B462__  Y    /
CD - B462   BRITISH AEROSPACE   BAe 146-200              B462__  Y    /
CD - B463   BRITISH AEROSPACE   BAe 146-300              B463__  Y    /
CD * B52    BOEING              B-52 Stratofortress      FGTL__  Y    /
CD - B58T   BEECH               Baron 58P                B58T__  Y    /
CD * B60    BOISAVIA            B-60 Mercurey            C182__  Y    /
CD * B701   BOEING              707-100                  B752__  Y    /
CD - B703   BOEING              B707-300                 B703__  Y    /
CD - B712   BOEING              B717-200                 B712__  Y    /
CD * B720   BOEING              720                      B752__  Y    /
CD * B721   BOEING              727-100                  B752__  Y    /
CD - B722   BOEING              B727-228 Adv             B722__  Y    /
CD * B731   BOEING              737-100                  T134__  N    /
CD - B732   BOEING              B737-200                 B732__  Y    /
CD - B733   BOEING              B737-300                 B733__  Y    /
CD - B734   BOEING              B737-400e                B734__  Y    /
CD - B735   BOEING              B737-500                 B735__  Y    /
CD - B736   BOEING              B737-600                 B736__  Y    /
CD - B737   BOEING              B737-700                 B737__  Y    /
CD - B738   BOEING              B737-800                 B738__  Y    /
CD - B739   BOEING              B737-900ER               B739__  Y    /
CD * B741   BOEING              747-100                  B743__  Y    /
CD - B742   BOEING              B747-200                 B742__  Y    /
CD - B743   BOEING              B747-300                 B743__  Y    /
CD - B744   BOEING              B747-400                 B744__  Y    /
CD - B748   BOEING              B747-8F                  B748__  Y    /
CD * B74D   BOEING              747-400 (domestic)       B743__  N    /
CD * B74R   BOEING              747SR                    B743__  Y    /
CD * B74S   BOEING              747SP                    B742__  Y    /
CD - B752   BOEING              B757-200                 B752__  Y    /
CD - B753   BOEING              B757-300                 B753__  Y    /
CD - B762   BOEING              B767-200                 B762__  Y    /
CD - B763   BOEING              B767-300ER               B763__  Y    /
CD - B764   BOEING              B767-400                 B764__  Y    /
CD - B772   BOEING              B777-200ER               B772__  Y    /
CD - B773   BOEING              B777-300                 B773__  Y    /
CD * B778   BOEING              777-8                    B77W__  Y    /
CD * B779   BOEING              777-9                    B77W__  Y    /
CD - B77L   BOEING              B777-200LR               B77L__  Y    /
CD - B77W   BOEING              B777-300ER               B77W__  Y    /
CD - B788   BOEING              B787-8                   B788__  Y    /
CD - B789   BOEING              B787-9                   B789__  Y    /
CD - B78X   BOEING              B787-10                  B78X__  Y    /
CD - BA11   BAC                 1.11/400                 BA11__  Y    /
CD * BCS1   BOMBARDIER          CS100                    B736__  Y    /
CD * BCS3   BOMBARDIER          CS300                    B737__  Y    /
CD * BD17   BEDE                BD-17 Nuggett            EV97__  Y    /
CD * BD4    BEDE                BD-4                     E300__  Y    /
CD * BDOG   SCOTTISH AVIATION   SA-3 Bulldog             C82S__  Y    /
CD * BE10   BEECH               100 King Air             F406__  Y    /
CD * BE12   BERIEV              Be-12 Tchaika            C27J__  Y    /
CD * BE17   BEECH               17 Staggerwing           TB21__  Y    /
CD * BE18   BEECH               18 Twin Beech            PA46__  Y    /
CD * BE19   BEECH               19 Sport                 P28A__  Y    /
CD - BE20   BEECHCRAFT          Super King Air B200      BE20__  Y    /
CD * BE23   BEECH               23 Musketeer             C172__  Y    /
CD * BE24   BEECH               24 Sierra                P06T__  Y    /
CD - BE30   BEECH               Super King Air 300       BE30__  Y    /
CD * BE32   BERIEV              Be-30/32                 AN38__  Y    /
CD * BE33   BEECH               33 Bonanza               P28T__  Y    /
CD * BE35   BEECH               35 Bonanza               BE36__  Y    /
CD - BE36   BEECHCRAFT          Bonanza G36              BE36__  Y    /
CD - BE40   HAWKER              400XP                    BE40__  Y    /
CD * BE4W   NEXTANT             400XPi                   BE40__  Y    /
CD * BE50   BEECH               50 Twin Bonanza          C402__  Y    /
CD * BE55   BEECH               55 Baron                 PA27__  Y    /
CD * BE56   BEECH               56 Turbo Baron           PAY3__  Y    /
