CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD * SMAX   AIRMAX              M-22 SeaMax              C162__  Y    /
CD * SNAP   DALLAIR             Snap                     C162__  Y    /
CD * SNTA   AIRSPORT            Sonata                   SF25__  Y    /
CD * SOL1   SOLAR IMPULSE       1                        EA50__  Y    /
CD * SOL2   SOLAR IMPULSE       2                        EA50__  Y    /
CD * SORA   ACS                 ACS-100 Sora             C162__  Y    /
CD * SP7    SPARTAN             7 Executive              PA34__  Y    /
CD * SP95   TECHNOAVIA          SP-95                    DA40__  Y    /
CD * SPA2   STARK-TREFETHEN     Sport-Aire 2             C162__  Y    /
CD * SPIT   SUPERMARINE         Spitfire                 P180__  Y    /
CD * SPRT   PRACTAVIA           Sprite                   C162__  Y    /
CD * SPUP   SOPWITH             Pup                      P28A__  Y    /
CD * SR01   EURODISPLAY         SR-01 Magic              C162__  Y    /
CD - SR20   CIRRUS              SR20                     SR20__  Y    /
CD - SR22   CIRRUS              SR22                     SR22__  Y    /
CD * SR71   LOCKHEED            SR-71 Blackbird          U2____  Y    /
CD * SREY   PROGRESSIVE AERODYN SeaRey                   C182__  Y    /
CD * SS2T   THRUSH              S-2R-H80 Turbo Thrush    P750__  Y    /
CD * SSAB   NORTH AMERICAN      F-100 Super Sabre        AJET__  Y    /
CD * SSTM   SG AVIATION         Sea Storm                C162__  Y    /
CD * ST10   SOCATA              ST-10 Diplomate          P28R__  Y    /
CD * ST3    STEARMAN            C-3                      MAGC__  Y    /
CD * ST4    STEARMAN            4 Speedmail              C182__  Y    /
CD * ST6    STEARMAN            6 Cloudboy               EV97__  Y    /
CD * ST75   STEARMAN            75 Kaydet                SVNH__  Y    /
CD * STAR   BEECH               2000 Starship            P180__  Y    /
CD * STCH   FLY SYNTHESIS       Storch                   EV97__  Y    /
CD * STRE   TL ULTRALIGHT       Stream                   C162__  Y    /
CD * STRK   BAC                 167 Strikemaster         L39___  Y    /
CD * STRM   SG AVIATION         Storm                    C162__  Y    /
CD * SU17   SUKHOI              Su-17/20/22              F16___  Y    /
CD * SU24   SUKHOI              Su-24                    F16___  Y    /
CD * SU25   SUKHOI              Su-25 Scorpion           HAWK__  Y    /
CD * SU26   SUKHOI              Su-26                    E300__  Y    /
CD * SU27   SUKHOI              Su-27                    F15___  Y    /
CD * SU7    SUKHOI              Su-7                     AJET__  Y    /
CD - SU95   SUKHOI              RRJ-95B SuperJet 100     SU95__  Y    /
CD * SUBA   FUJI                FA-200 Aero Subaru       C182__  Y    /
CD * SV4    STAMPE              SV-4                     P28U__  Y    /
CD - SVNH   ICP                 Savannah VG              SVNH__  Y    /
CD * SW18   SKYWOOD             SW-18 Teddy              SVNH__  Y    /
CD * SW2    SWEARINGEN          Merlin 2                 BE9L__  Y    /
CD * SW3    SWEARINGEN          Merlin 3                 MU2___  Y    /
CD - SW4    SWEARINGEN          SA227-AC Metro III       SW4___  Y    /
CD * SWIF   SUPERMARINE         Swift                    AJET__  Y    /
CD * SX30   SWEARINGEN          SX-300                   E300__  Y    /
CD * SYMP   SYMPHONY            SA-160 Symphony          DA40__  Y    /
CD * T1     FUJI                T-1                      L39___  Y    /
CD * T10    TMM-AVIA            T-10 Avia-Tor            MAGC__  Y    /
CD - T134   TUPOLEV             Tu-134A-3                T134__  Y    /
CD - T154   TUPOLEV             Tu-154M                  T154__  Y    /
CD * T160   TUPOLEV             Tu-160 Blackjack         FGTL__  Y    /
CD * T18    THORP               T-18 Tiger               E300__  Y    /
CD * T19    THK                 T-19 Speedfire           EV97__  Y    /
CD * T2     ROCKWELL            T-2 Buckeye              L39___  Y    /
CD - T204   TUPOLEV             Tu-204-300               T204__  Y    /
CD - T206   CESSNA              T206H                    T206__  Y    /
CD - T210   CESSNA              T210M                    T210__  Y    /
CD * T211   THORP               T-211                    MAGC__  Y    /
CD * T22M   TUPOLEV             Tu-22M                   FGTL__  Y    /
CD * T250   BELLANCA            T-250 Aries              C182__  Y    /
CD * T28    NORTH AMERICAN      T-28 Trojan              P180__  Y    /
CD * T30    TERZI               T-30 Katana              E300__  Y    /
CD * T33    CANADAIR            CT-133 Silver Star       AJET__  Y    /
CD * T34P   BEECH               T-34B Mentor             TB20__  Y    /
CD * T34T   BEECH               T-34C Turbo Mentor       E500__  Y    /
CD * T35    TEMCO               T-35 Buckaroo            EV97__  Y    /
CD * T37    CESSNA              T-37-B                   L39___  Y    /
CD * T38    NORTHROP            T-38 Talon               L39___  Y    /
CD * T4     KAWASAKI            T-4                      AJET__  Y    /
CD * T40    TURNER              T-40                     EV97__  Y    /
CD * T411   KHRUNICHEV          T-411 Aist               C188__  Y    /
CD * T50S   SUKHOI              T-50                     F15___  Y    /
CD * T6     NORTH AMERICAN      T-6 Texan                PA46__  Y    /
CD * TAIL   WITTMAN             W-10 Tailwind            EV97__  Y    /
CD * TAMP   SOCATA              TB-9 Tampico             P28A__  Y    /
CD * TARR   PELEGRIN            Tarragon                 C162__  Y    /
CD * TAYD   TAYLORCRAFT         L-2                      SVNH__  Y    /
CD * TB05   AMC                 Texas Bullet 205         P28R__  Y    /
CD - TB20   SOCATA              TB 20 Trinidad           TB20__  Y    /
CD - TB21   SOCATA              TB 21 Trinidad TC        TB21__  Y    /
CD * TB30   SOCATA              TB-30 Epsilon            TB20__  Y    /
CD * TB31   SOCATA              TB-31 Omega              P46T__  Y    /
CD * TBEE   UNITED CONSULTANT   Twin Bee                 C182__  Y    /
CD * TBM    GENERAL MOTORS      TBM Avenger              JS32__  Y    /
CD - TBM7   SOCATA              TBM-700                  TBM7__  Y    /
CD - TBM8   SOCATA              TBM-850                  TBM8__  Y    /
CD - TBM9   SOCATA              TBM-930                  TBM9__  Y    /
CD * TEAL   THURSTON            TSC-1 Teal               MAGC__  Y    /
CD - TEX2   RAYTHEON            T-6B                     TEX2__  Y    /
CD * TFK2   TECHNOFLUG          TFK-2 Carat              DIMO__  Y    /
CD * TFUN   VALENTIN            Taifun                   DIMO__  Y    /
CD * TJET   MAVERICK            TJ-1500 TwinJet          SF50__  Y    /
CD * TL20   TL ULTRALIGHT       TL-2000 Sting S3         C162__  Y    /
CD * TL30   TL ULTRALIGHT       TL-3000 Sirius           C162__  Y    /
CD * TNAV   CAMAIR              480 Twin Navion          PA34__  Y    /
CD * TOBA   SOCATA              TB-10 Tobago             C172__  Y    /
CD * TOR    PANAVIA             Tornado                  F16___  Y    /
CD * TOUR   AESL                Airtourer                C162__  Y    /
CD * TR20   TECH'AERO           TR-200                   P28R__  Y    /
CD * TRAL   GROPPO              Trail                    EV97__  Y    /
CD * TRF1   TEAM ROCKET         F-1                      E300__  Y    /
CD * TRIM   FORD                Tri-Motor                DA42__  Y    /
CD * TRIS   BRITTEN-NORMAN      Trislander               DA42__  Y    /
CD * TS11   PZL-MIELEC          TS-11 Iskra              L39___  Y    /
CD * TU22   TUPOLEV             Tu-22                    FGTL__  Y    /
CD * TU95   TUPOLEV             Tu-95                    FGTL__  Y    /
CD * TUCA   EMBRAER             EMB-312 Tucano           TBM7__  Y    /
CD * TUTR   AVRO                621 Tutor                EV97__  Y    /
CD * TWEN   TECNAM              P-2010 Twenty Ten        DA40__  Y    /
CD * TWIR   DYN'AERO            Twin-R                   P06T__  Y    /
CD * TWST   SILENCE             Twister                  EV97__  Y    /
CD * U15    PHOENIX AIR         U-15 Phoenix             MAGC__  Y    /
CD * U16    GRUMMAN             HU-16 Albatross          S2P___  Y    /
CD - U2     LOCKHEED            U-2                      U2____  Y    /
CD * U21    BEECH               U-21 Ute                 F406__  Y    /
CD * UF10   URBAN               UFM-10 Samba             C162__  Y    /
CD * UF13   URBAN               UFM-13 Lambada           SF25__  Y    /
CD * UT75   UTVA                75                       SVNH__  Y    /
CD * V10    NORTH AMERICAN      OV-10 Bronco             TEX2__  Y    /
CD * V22    BELL-BOEING         V-22 Osprey              A140__  Y    /
CD * V280   BELL                V-280 Valor              AT76__  Y    /
CD * VAMP   DE HAVILLAND        DH-100 Vampire           L39___  Y    /
CD * VC10   VICKERS             VC-10                    B703__  N    /
CD * VELO   VELOCITY            Velocity TXL             M20T__  Y    /
CD * VELT   VELOCITY            Velocity V-Twin          M20P__  Y    /
CD * VENT   SCHEMPP-HIRTH       Ventus cM                SF25__  Y    /
CD * VEZE   RUTAN               33 VariEze               TB21__  Y    /
CD * VF14   VFW                 VFW-614                  YK40__  Y    /
CD * VF35   LOCKHEED MARTIN     F-35B Lightning II       F16___  Y    /
CD * VIX    SKYSTAR             Kitfox Vixen             MAGC__  Y    /
CD * VK3P   CIRRUS              VK-30                    S22T__  Y    /
CD * VL3    VANESSA AIR         VL-3                     C162__  Y    /
CD * VM1    VOL MEDITERRANI     VM-1 Esqual              C162__  Y    /
CD * VNTR   ICP                 Ventura                  C162__  Y    /
CD * VO10   VOLAIRCRAFT         Volaire 10/1035/1050     C172__  Y    /
CD * VP2    EVANS               VP-2 Volksplane          SVNH__  Y    /
CD * VTOR   PARTENAVIA          AP-68TP-600 Viator       E500__  Y    /
CD * VTUR   QUESTAIR            M-20 Venture             T210__  Y    /
CD * WA40   WASSMER             WA-40 Super 4            DA40__  Y    /
CD * WA41   WASSMER             WA-41 Baladou            DA40__  Y    /
CD * WA42   WASSMER             WA-421/235               P28T__  Y    /
CD * WA50   WASSMER             WA-54 Atlantic           P06T__  Y    /
CD * WACC   WACO                C                        C172__  Y    /
CD * WACF   WACO                YMF                      C172__  Y    /
CD * WACO   WACO                10                       SVNH__  Y    /
CD * WB57   MARTIN              WB-57                    A10___  Y    /
CD * WBOO   DEAN-WILSON         DW-200 Whitney Boomerang C162__  Y    /
CD * WHIL   WHITE LIGHTNING     WLAC-1 White Lightning   M20P__  Y    /
CD * WILT   ULTRALEICHTBAU      WT-01/02 Wild Thing      MAGC__  Y    /
CD * WIRR   COMMONWEALTH        Wirraway                 T206__  Y    /
CD * WSP    AAK                 Wasp                     MAGC__  Y    /
CD * WT9    AEROSPOOL           WT-9 Dynamic             C162__  Y    /
CD * WW23   IAI                 1123 Westwind            SBR1__  Y    /
CD * WW24   IAI                 1124 Westwind            SBR1__  Y    /
CD * X47B   NORTHROP GRUMMAN    X-47B                    F16___  Y    /
CD * XA41   XTREMEAIR           XA-41                    E300__  Y    /
CD * XA42   XTREMEAIR           XA-42                    E300__  Y    /
CD * XL2    LIBERTY             XL-2                     C162__  Y    /
CD * Y112   YAKOVLEV            Yak-112                  C172__  Y    /
CD * Y12    HARBIN              Y-12E Harbinger          C208__  Y    /
CD * Y12F   HARBIN              Y-12F Aircar             JS32__  Y    /
CD * Y130   YAKOVLEV            Yak-130                  AJET__  Y    /
CD * Y18T   YAKOVLEV            Yak-18T                  C172__  Y    /
CD * YAK3   YAKOVLEV            Yak-3                    PAY3__  Y    /
CD * YAK9   YAKOVLEV            Yak-9                    PAY3__  Y    /
CD * YK11   YAKOVLEV            Yak-11                   B58T__  Y    /
CD * YK12   YAKOVLEV            Yak-12                   SVNH__  Y    /
CD * YK18   YAKOVLEV            Yak-18                   DA40__  Y    /
CD * YK28   YAKOVLEV            Yak-28                   F16___  Y    /
CD - YK40   YAKOVLEV            Yak-40                   YK40__  Y    /
CD - YK42   YAKOVLEV            Yak-42                   YK42__  Y    /
CD * YK50   YAKOVLEV            Yak-50                   P06T__  Y    /
CD * YK52   YAKOVLEV            Yak-52                   P28U__  Y    /
CD * YK53   YAKOVLEV            Yak-53                   P28A__  Y    /
CD * YK54   YAKOVLEV            Yak-54                   C172__  Y    /
CD * YK55   YAKOVLEV            Yak-55                   DA40__  Y    /
CD * YK58   YAKOVLEV            Yak-58                   PA44__  Y    /
CD * YL15   BOEING              YL-15 Scout              EV97__  Y    /
CD * YS11   MITSUBISHI          YS-11                    ATP___  Y    /
CD * YURO   SOKO-CNIAR          J-22 Orao                AJET__  Y    /
CD * Z26    MORAVAN             Zlin Z-526 Trener Master EV97__  Y    /
CD * Z42    ZLIN                Z-42/142/242             C172__  Y    /
CD * Z43    ZLIN                Z-43                     C172__  Y    /
CD * ZEP2   KEUTHAN             Zephyr 2                 SVNH__  Y    /
CD * ZEPH   ATEC                122 Zephyr               C162__  Y    /
CD * ZERO   MITSUBISHI          Zero                     PAY3__  Y    /
CD * ZULU   BUL                 Zulu                     SVNH__  Y    /
CC ===================================================================/
FI                                                                    /
